iter	Passed	Remaining
0	1	169
1	3	171
2	4	157
3	5	141
4	8	156
5	10	163
6	12	168
7	14	163
8	16	163
9	18	163
10	20	163
11	22	165
12	24	162
13	26	160
14	28	159
15	30	158
16	32	157
17	33	152
18	35	150
19	37	148
20	38	143
21	39	140
22	41	138
23	42	135
24	44	134
25	47	134
26	49	134
27	51	132
28	53	131
29	56	130
30	58	129
31	60	127
32	62	126
33	64	124
34	66	123
35	68	120
36	69	118
37	71	117
38	73	115
39	76	114
40	78	113
41	79	109
42	81	108
43	84	107
44	86	106
45	89	104
46	91	103
47	93	101
48	95	99
49	97	97
50	99	95
51	101	93
52	102	90
53	104	88
54	105	86
55	106	84
56	108	81
57	109	79
58	111	77
59	113	75
60	115	73
61	116	71
62	118	69
63	120	67
64	121	65
65	122	63
66	124	61
67	125	59
68	126	56
69	127	54
70	129	52
71	131	51
72	133	49
73	135	47
74	136	45
75	138	43
76	140	41
77	141	40
78	143	38
79	144	36
80	146	34
81	147	32
82	149	30
83	151	28
84	152	26
85	154	25
86	156	23
87	157	21
88	158	19
89	160	17
90	162	16
91	163	14
92	164	12
93	165	10
94	167	8
95	168	7
96	170	5
97	171	3
98	173	1
99	174	0
